Code.INSEE,Code.postal,Libellé.géographique,Dep,occurrence,total.Club.sportif,Population,TauxBac,Salaire,TauxChomage,TauxOuvrier,StatutCommune
1028,1990,Baneins,1,1,4,583,36.3636363636,19087,7.07070707071,27.6094276094,R
1053,1000,Bourg-en-Bresse,1,2,118,2503,41.1731528483,20087,8.11930405965,26.5948632974,C
1155,1230,Évosges,1,1,NA,135,41.3461538462,16600,11.7647058824,39.7058823529,R
1250,1600,Misérieux,1,1,5,1745,47.7072310406,22918,6.26423690205,20.6150341686,B
1254,1250,Montagnat,1,1,11,1614,47.982832618,23631,3.19018404908,15.4601226994,C
1397,1220,Sauverny,1,1,4,1083,54.0682414698,26084,6.95970695971,17.5824175824,R
1451,1440,Viriat,1,1,25,4176,37.0013297872,20388,4.37375745527,20.6262425447,B
2008,2370,Aizy-Jouy,2,1,1,274,37.5661375661,16839,9.77443609023,30.0751879699,R
2288,2100,Essigny-le-Petit,2,2,1,368,29.1044776119,17397,12.5786163522,27.0440251572,R
2536,2200,Nampteuil-sous-Muret,2,1,NA,80,24.5614035088,17845,12.5,37.5,R
2707,2410,Septvaux,2,1,1,204,28.3687943262,16335,17.1717171717,32.3232323232,R
2808,2420,Villeret,2,1,2,314,21.2389380531,14522,21.0526315789,34.2105263158,R
3044,3700,Brugheas,3,1,2,1327,33.7548638132,18786,7.91599353796,27.6252019386,R
3056,3300,La Chapelle,3,1,2,382,32.8671328671,14478,6.58682634731,7.18562874252,R
3140,3100,Lavault-Sainte-Anne,3,1,4,1197,34.1907824223,19525,9.83263598326,31.589958159,B
3233,3310,Saint-Genest,3,1,62,349,30.3149606299,17141,9.71428571429,28,R
3306,3200,Le Vernet,3,1,6,1858,46.7870036101,20337,8.41983852364,21.2226066897,B
4028,4270,Beynes,4,1,NA,122,54.7368421053,14647,15.2542372881,6.77966101695,R
4046,4510,Le Chaffaut-Saint-Jurson,4,1,1,731,48.1012658228,18692,7.04225352113,15.4929577465,R
4063,4220,Corbières-en-Provence,4,1,3,968,43.621399177,19736,8.31556503198,22.3880597015,B
4091,4310,Ganagobie,4,1,NA,110,46.5909090909,16933,15.2542372881,22.0338983051,R
4112,4100,Manosque,4,1,64,1999,44.04536862,19730,13.2121212121,18.303030303,C
